Číslo závady,EC_SVE,EČ objektu,Katastr,Ulice,Sektor závady,Rok závady,Datum nahlášení závady,Typ závady,Plánovaný termín opravy,Stav opravy,Způsob opravy,Datum opravy
2 160,S-1891-002,,Přízřenice,V POLÍCH,Brno - východ,2 016,2.11.2016,S svítidlo-nesvítí,9.11.2016,Definitivní,S výměna světelného zdroje,3.11.2016
2 161,S-1706-002,,Přízřenice,KE SVRATCE,Brno - východ,2 016,2.11.2016,S svítidlo-nesvítí,9.11.2016,Definitivní,S výměna světelného zdroje,3.11.2016
2 162,S-0187-042,,Slatina,DĚDICKÁ,Brno - východ,2 016,2.11.2016,"nesvítí celá ulice, oblast",9.11.2016,Definitivní,S výměna světelného zdroje,14.11.2016
2 163,S-0683-031,,Líšeň,MOLÁKOVA,Brno - východ,2 016,2.11.2016,S svítidlo-bliká,9.11.2016,Definitivní,S výměna světelného zdroje,4.11.2016
2 164,S-1206-003,,Chrlice,U ZBROJNICE,Brno - východ,2 016,2.11.2016,S svítidlo-bliká,9.11.2016,Definitivní,S výměna světelného zdroje,3.11.2016
2 165,S-0573-003,,Bystrc,LAŠTŮVKOVA,Brno - západ,2 016,2.11.2016,"nesvítí celá ulice, oblast",9.11.2016,Definitivní,jiná závada,2.11.2016
2 166,S-1309-613,,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,2.11.2016,S svítidlo-bliká,9.11.2016,Definitivní,S oprava svítidla,3.11.2016
2 167,S-1219-069,Z-300,Bohunice,UKRAJINSKÁ,Brno - západ,2 016,2.11.2016,Z vypadený jistící prvek,9.11.2016,Definitivní,vypadený jistící prvek,2.11.2016
2 168,S-1485-038,Z-531,Stránice,ÚVOZ,Brno - východ,2 016,2.11.2016,SO nekomunikuje čip,9.11.2016,Definitivní,Z výměna el. výzbroje,3.11.2016
2 169,S-0279-035,Z-126,Komín,HLAVNÍ,Brno - západ,2 016,2.11.2016,SO nekomunikuje čip,9.11.2016,Definitivní,,3.11.2016
2 170,S-1309-228,Z-550,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,3.11.2016,"Z vypnuta regulace, viz.poznámka",10.11.2016,Definitivní,jiná závada,3.11.2016
2 171,S-0229-034,Z-103,Žabovřesky,GABRIELY PREISSOVÉ,Brno - západ,2 016,3.11.2016,Z vybitá PLC baterie,10.11.2016,Definitivní,Z výměna baterie,3.11.2016
2 172,S-1536-180,Z-217,Komín,KNÍNIČSKÁ,Brno - západ,2 016,3.11.2016,Z porucha regulace,10.11.2016,Definitivní,Z regulace seřízena,4.11.2016
2 173,S-1716-014,Z-332,Nový Lískovec,PETRA KŘIVKY,Brno - západ,2 016,3.11.2016,Z vybitá PLC baterie,10.11.2016,Definitivní,Z výměna baterie,4.11.2016
2 174,S-1252-053,,Židenice,VELKOPAVLOVICKÁ,Brno - východ,2 016,3.11.2016,"nesvítí celá ulice, oblast",10.11.2016,Definitivní,neopraveno,3.11.2016
2 175,S-1355-041,,Černá Pole,ZEMĚDĚLSKÁ,Brno - východ,2 016,3.11.2016,S svítidlo-bliká,10.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 176,S-1309-222,,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,3.11.2016,"dvířka-poškozena, chybí",10.11.2016,Definitivní,S montáž dvířek,4.11.2016
2 177,S-0013-004,,Bohunice,ARMÉNSKÁ,Brno - západ,2 016,3.11.2016,"S patice-poškozena, chybí",10.11.2016,Definitivní,S montáž patice,4.11.2016
2 178,S-1051-001,,Zábrdovice,SLEPÁ,Brno - východ,2 016,3.11.2016,S svítidlo-nesvítí,10.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 179,S-1153-030,,Černá Pole,TIŠNOVSKÁ,Brno - východ,2 016,3.11.2016,S svítidlo-bliká,10.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 180,S-1309-228,R-1309-023,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,3.11.2016,"Z vypnuta regulace, viz.poznámka",10.11.2016,Definitivní,jiná závada,4.11.2016
2 181,S-1521-035,Z-125,Černovice,HLADÍKOVA,Brno - východ,2 016,3.11.2016,Z porucha sign. přív. napětí,10.11.2016,Definitivní,Z výměna zdroje,11.11.2016
2 182,S-0761-072,Z-313,Černá Pole,NÁM. 28. ŘÍJNA,Brno - východ,2 016,3.11.2016,Z vybitá PLC baterie,10.11.2016,Definitivní,Z výměna baterie,4.11.2016
2 183,S-0654-027,Z-288,Černá Pole,MERHAUTOVA,Brno - východ,2 016,3.11.2016,Z porucha proudového snímače,10.11.2016,Definitivní,jiná závada,4.11.2016
2 184,S-0637-007,R-0637-011,Město Brno,MASARYKOVA,Brno - východ,2 016,3.11.2016,S svítidlo-nesvítí,10.11.2016,Definitivní,S výměna světelného zdroje,4.11.2016
2 185,S-1352-006,,Město Brno,ZELNÝ TRH,Brno - východ,2 016,3.11.2016,S svítidlo-nesvítí,10.11.2016,Definitivní,S výměna světelného zdroje,4.11.2016
2 186,S-0907-062,Z-415,Stránice,PRESLOVA,Brno - západ,2 016,4.11.2016,Z porucha proudového snímače,11.11.2016,Definitivní,jiná závada,4.11.2016
2 187,S-0866-007,Z-401,Komín,PODLESÍ,Brno - západ,2 016,4.11.2016,Z zapnulo před časem zapnutí,11.11.2016,Definitivní,jiná závada,4.11.2016
2 188,S-0859-004,Z-380,Žabovřesky,POD KAŠTANY,Brno - západ,2 016,4.11.2016,Z vybitá PLC baterie,11.11.2016,Definitivní,Z výměna baterie,4.11.2016
2 189,S-0331-008,Z-154,Staré Brno,HYBEŠOVA,Brno - východ,2 016,4.11.2016,Z porucha regulace,11.11.2016,Definitivní,Z regulace seřízena,4.11.2016
2 190,S-0045-022,Z-025,Černá Pole,BIEBLOVA,Brno - východ,2 016,4.11.2016,Z porucha regulace,11.11.2016,Definitivní,jiná závada,13.12.2016
2 191,S-1503-267,Z-651,Pisárky,BAUEROVA,Brno - západ,2 016,4.11.2016,Z porucha regulace,11.11.2016,Definitivní,Z regulace seřízena,4.11.2016
2 192,S-0667-036,R-0667-004,Slatina,MIKULČICKÁ,Brno - východ,2 016,4.11.2016,S svítidlo-nesvítí,11.11.2016,Definitivní,S výměna světelného zdroje,9.11.2016
2 193,S-0088-017,,Žabovřesky,BRÁFOVA,Brno - západ,2 016,4.11.2016,S svítidlo-nesvítí,11.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 194,S-0603-043,,Žabovřesky,LUČNÍ,Brno - západ,2 016,4.11.2016,S svítidlo-nesvítí,11.11.2016,Definitivní,S montáž patice,8.11.2016
2 195,S-0194-006,R-1286-004,Husovice,ELGARTOVA,Brno - východ,2 016,5.11.2016,S svítidlo-nesvítí,12.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 196,S-0831-052,R-0831-004,Staré Brno,PELLICOVA,Brno - východ,2 016,5.11.2016,R poškozen,12.11.2016,Definitivní,R oprava dvířek,9.11.2016
2 197,S-1309-228,Z-550,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,5.11.2016,Z vypadený jistící prvek,12.11.2016,Definitivní,S výměna světelného zdroje,7.11.2016
2 198,S-1395-066,R-1395-003,Židenice,ŽAROŠICKÁ,Brno - východ,2 016,5.11.2016,Z vypadený jistící prvek,12.11.2016,Provizorní,kabelová porucha 1,7.11.2016
2 199,S-0822-001,R-0822-001,Město Brno,PANSKÁ,Brno - východ,2 016,5.11.2016,S svítidlo-nesvítí,12.11.2016,Definitivní,S výměna světelného zdroje,8.11.2016
2 200,S-0907-063,Z-415,Stránice,PRESLOVA,Brno - západ,2 016,6.11.2016,Z zapnout BP - porucha stabilizace,6.11.2016,Definitivní,neopraveno,7.11.2016
2 201,S-0654-017,,Zábrdovice,MERHAUTOVA,Brno - východ,2 016,6.11.2016,"nesvítí celá ulice, oblast",13.11.2016,Definitivní,oprava kabelu,10.11.2016
2 202,S-0910-003,,Kohoutovice,PROKOFJEVOVA,Brno - západ,2 016,6.11.2016,"nesvítí celá ulice, oblast",13.11.2016,Definitivní,vypadený jistící prvek,6.11.2016
2 203,S-0910-004,,Kohoutovice,PROKOFJEVOVA,Brno - západ,2 016,6.11.2016,"nesvítí celá ulice, oblast",13.11.2016,Definitivní,neopraveno,7.11.2016
2 204,S-0711-005,,Husovice,MÍČKOVA,Brno - východ,2 016,7.11.2016,S svítidlo-bliká,14.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 205,S-1523-019,,Žabovřesky,HORSKÁ,Brno - západ,2 016,7.11.2016,S svítidlo-bliká,14.11.2016,Definitivní,S výměna světelného zdroje,8.11.2016
2 206,S-1261-039,Z-562,Židenice,VINIČNÍ,Brno - východ,2 016,7.11.2016,Z vybitá PLC baterie,14.11.2016,Definitivní,Z výměna baterie,8.11.2016
2 207,S-1395-066,Z-604,Židenice,ŽAROŠICKÁ,Brno - východ,2 016,7.11.2016,Z nekomunikuje,14.11.2016,Definitivní,Z výměna zdroje,8.11.2016
2 208,S-1787-009,Z-607,Jehnice,POD VRŠKEM,Brno - západ,2 016,7.11.2016,viz. poznámka,14.11.2016,Definitivní,jiná závada,12.11.2016
2 209,S-1125-002,,Veveří,SUŠILOVA,Brno - východ,2 016,7.11.2016,S svítidlo-rozbité,14.11.2016,Definitivní,S výměna svítidla,11.11.2016
2 210,S-0683-017,Z-299,Líšeň,MOLÁKOVA,Brno - východ,2 016,7.11.2016,Z vybitá PLC baterie,14.11.2016,Definitivní,Z výměna baterie,8.11.2016
2 211,S-1152-026,Z-504,Slatina,TILHONOVA,Brno - východ,2 016,7.11.2016,Z vybitá PLC baterie,14.11.2016,Definitivní,Z výměna baterie,8.11.2016
2 212,S-0455-038,R-0455-003,Královo Pole,KOCIÁNKA,Brno - východ,2 016,7.11.2016,Z vybitá PLC baterie,14.11.2016,Definitivní,Z výměna baterie,8.11.2016
2 213,S-0494-001,Z-234,Ivanovice,KOUTY,Brno - západ,2 016,7.11.2016,Z zapnulo před časem zapnutí,14.11.2016,Definitivní,jiná závada,11.11.2016
2 214,S-0045-022,Z-025,Černá Pole,BIEBLOVA,Brno - východ,2 016,8.11.2016,Z vybitá PLC baterie,15.11.2016,Definitivní,Z výměna baterie,9.11.2016
2 215,S-0746-005,,Líšeň,NIVKY,Brno - východ,2 016,8.11.2016,S svítidlo-bliká,15.11.2016,Definitivní,S výměna světelného zdroje,9.11.2016
2 216,S-1070-016,,Husovice,SOBĚŠICKÁ,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,vypadený jistící prvek,15.11.2016
2 217,S-1070-018,,Husovice,SOBĚŠICKÁ,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 218,S-0031-009,,Město Brno,BAŠTY,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 219,S-0165-057,,Trnitá,DORNYCH,Brno - východ,2 016,8.11.2016,S stožár-poškozen,15.11.2016,Definitivní,havárie,9.11.2016
2 220,S-1216-003,,Trnitá,UHELNÁ,Brno - východ,2 016,8.11.2016,S stožár-poškozen,15.11.2016,Definitivní,S výměna svítidla,11.11.2016
2 221,S-1188-002,Z-490,Žabovřesky,TÁBOR,Brno - západ,2 016,8.11.2016,Z vybitá PLC baterie,15.11.2016,Definitivní,Z výměna baterie,9.11.2016
2 222,S-0018-003,Z-009,Maloměřice,BAAROVO NÁBŘEŽÍ,Brno - východ,2 016,8.11.2016,Z vypadený jistící prvek,15.11.2016,Definitivní,oprava kabelu,14.11.2016
2 223,S-0802-007,Z-347,Město Brno,ORLÍ,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,při kontrole vše v pořádku,8.11.2016
2 224,S-1309-227,Z-550,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,8.11.2016,"Z vypnuta regulace, viz.poznámka",15.11.2016,Definitivní,jiná závada,9.11.2016
2 225,S-0637-001,,Město Brno,MASARYKOVA,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,S výměna světelného zdroje,9.11.2016
2 226,S-1231-001,R-1231-002,Město Brno,VACHOVA,Brno - východ,2 016,8.11.2016,S svítidlo-nesvítí,15.11.2016,Definitivní,S výměna světelného zdroje,9.11.2016
2 227,S-1395-067,Z-604,Židenice,ŽAROŠICKÁ,Brno - východ,2 016,9.11.2016,Z porucha regulace,16.11.2016,Definitivní,Z regulace seřízena,9.11.2016
2 228,S-0161-024,,Maloměřice,DOLNOPOLNÍ,Brno - východ,2 016,9.11.2016,"nesvítí celá ulice, oblast",16.11.2016,Definitivní,neopraveno,9.11.2016
2 229,S-0974-009,Z-434,Židenice,ROKYTOVA,Brno - východ,2 016,9.11.2016,Z nekomunikuje,16.11.2016,Definitivní,Z obnovena komunikace,9.11.2016
2 230,S-0584-173,Z-267,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,9.11.2016,Z nekomunikuje,16.11.2016,Definitivní,Z obnovena komunikace RACOM,9.11.2016
2 231,S-1220-034,Z-070,Komín,ULICE ČOUPKOVÝCH,Brno - západ,2 016,9.11.2016,Z nekomunikuje,16.11.2016,Definitivní,Z obnovena komunikace,9.11.2016
2 232,S-0910-036,,Pisárky,PROKOFJEVOVA,Brno - západ,2 016,9.11.2016,S svítidlo-nesvítí,16.11.2016,Definitivní,jiná závada,11.11.2016
2 233,S-0642-012,,Černá Pole,MATHONOVA,Brno - východ,2 016,9.11.2016,"dvířka-poškozena, chybí",16.11.2016,Definitivní,S montáž patice,10.11.2016
2 234,S-1488-016,,Černovice,ŘEHOŘOVA,Brno - východ,2 016,9.11.2016,S svítidlo-bliká,16.11.2016,Definitivní,S výměna světelného zdroje,11.11.2016
2 235,S-1471-048,Z-488,Bohunice,ŠVERMOVA,Brno - západ,2 016,9.11.2016,Z nekomunikuje,16.11.2016,Definitivní,jiná závada,9.11.2016
2 236,S-0787-020,Z-618,Lesná,OKRUŽNÍ,Brno - východ,2 016,9.11.2016,Z porucha sign. přív. napětí,16.11.2016,Definitivní,jiná závada,9.11.2016
2 237,S-0802-007,,Město Brno,ORLÍ,Brno - východ,2 016,10.11.2016,S svítidlo-nesvítí,17.11.2016,Definitivní,oprava zničeného VO,11.11.2016
2 238,S-0974-010,Z-434,Židenice,ROKYTOVA,Brno - východ,2 016,10.11.2016,Z nekomunikuje,17.11.2016,Definitivní,Z obnovena komunikace,14.11.2016
2 239,S-1024-003,,Maloměřice,SELSKÁ,Brno - východ,2 016,10.11.2016,S svítidlo-nesvítí,17.11.2016,Definitivní,neopraveno,11.11.2016
2 240,S-0211-006,,Židenice,FILIPÍNSKÉHO,Brno - východ,2 016,10.11.2016,S svítidlo-bliká,17.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 241,S-1422-016,,Město Brno,ČESKÁ,Brno - východ,2 016,10.11.2016,S stožár-poškozen,17.11.2016,Definitivní,S výměna stožáru,23.11.2016
2 242,S-0345-009,R-0345-001,Město Brno,JAKUBSKÉ NÁMĚSTÍ,Brno - východ,2 016,10.11.2016,S svítidlo-nesvítí,17.11.2016,Definitivní,oprava zničeného VO,11.11.2016
2 243,S-0385-010,,Město Brno,JOSEFSKÁ,Brno - východ,2 016,10.11.2016,S svítidlo-nesvítí,17.11.2016,Definitivní,S výměna světelného zdroje,11.11.2016
2 244,S-0637-007,R-0637-011,Město Brno,MASARYKOVA,Brno - východ,2 016,10.11.2016,S svítidlo-nesvítí,17.11.2016,Definitivní,S výměna světelného zdroje,11.11.2016
2 245,S-0914-042,Z-419,Černá Pole,PROVAZNÍKOVA,Brno - východ,2 016,11.11.2016,Z zapnulo před časem zapnutí,18.11.2016,Definitivní,při kontrole vše v pořádku,11.11.2016
2 246,S-0871-001,Z-325,Židenice,PODPÍSEČNÁ,Brno - východ,2 016,11.11.2016,Z zapnulo před časem zapnutí,18.11.2016,Definitivní,jiná závada,11.11.2016
2 247,S-0202-002,,Bystrc,EČEROVA,Brno - západ,2 016,11.11.2016,"dvířka-poškozena, chybí",18.11.2016,Definitivní,S montáž dvířek,11.11.2016
2 248,S-1252-052,R-1252-007,Židenice,VELKOPAVLOVICKÁ,Brno - východ,2 016,11.11.2016,S svítidlo-nesvítí,18.11.2016,Definitivní,neopraveno,15.11.2016
2 249,S-0739-004,R-0194-001,Husovice,NETUŠILOVA,Brno - východ,2 016,11.11.2016,S svítidlo-bliká,18.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 250,S-0971-012,,Královo Pole,RIEGROVA,Brno - západ,2 016,11.11.2016,S svítidlo-bliká,18.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 251,S-0660-003,,Žabovřesky,MEZNÍKOVA,Brno - západ,2 016,11.11.2016,S svítidlo-nesvítí,18.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 252,S-0472-009,,Veveří,KONEČNÉHO NÁMĚSTÍ,Brno - východ,2 016,11.11.2016,S svítidlo-nesvítí,18.11.2016,Definitivní,vypadený jistící prvek,15.11.2016
2 253,S-0746-005,,Líšeň,NIVKY,Brno - východ,2 016,11.11.2016,S svítidlo-bliká,18.11.2016,Definitivní,S oprava svítidla,14.11.2016
2 254,S-0607-100,Z-273,Černá Pole,LUŽÁNECKÁ,Brno - východ,2 016,12.11.2016,Z zapnulo před časem zapnutí,19.11.2016,Definitivní,jiná závada,14.11.2016
2 255,S-0025-001,Z-012,Líšeň,BARTÁKOVA,Brno - východ,2 016,12.11.2016,Z zapnulo před časem zapnutí,19.11.2016,Definitivní,jiná závada,14.11.2016
2 256,S-1514-011,Z-645,Žebětín,DLÁŽDĚNÁ,Brno - západ,2 016,12.11.2016,Z nelze odečíst elektroměr,19.11.2016,Definitivní,jiná závada,14.11.2016
2 257,S-0787-104,,Lesná,OKRUŽNÍ,Brno - východ,2 016,12.11.2016,S svítidlo-nesvítí,19.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 258,S-0523-003,,Žabovřesky,KRONDLOVA,Brno - západ,2 016,12.11.2016,viz. poznámka,19.11.2016,Definitivní,S oprava svítidla,15.11.2016
2 259,S-0612-009,,Bystrc,LÝSKOVA,Brno - západ,2 016,12.11.2016,"nesvítí celá ulice, oblast",19.11.2016,Definitivní,vandalizmus,13.11.2016
2 260,S-1252-044,,Židenice,VELKOPAVLOVICKÁ,Brno - východ,2 016,12.11.2016,S svítidlo-nesvítí,19.11.2016,Definitivní,neopraveno,15.11.2016
2 261,S-1485-038,Z-531,Stránice,ÚVOZ,Brno - východ,2 016,12.11.2016,SO nekomunikuje čip,19.11.2016,Definitivní,jiná závada,19.11.2016
2 262,S-0279-030,Z-126,Komín,HLAVNÍ,Brno - západ,2 016,12.11.2016,SO nekomunikuje čip,19.11.2016,Definitivní,jiná závada,19.11.2016
2 263,S-1024-007,,Maloměřice,SELSKÁ,Brno - východ,2 016,12.11.2016,"nesvítí celá ulice, oblast",19.11.2016,Definitivní,oprava kabelu,14.11.2016
2 264,S-0069-040,Z-037,Ponava,BOTANICKÁ,Brno - západ,2 016,13.11.2016,Z vypadený jistící prvek,20.11.2016,Definitivní,vypadený jistící prvek,14.11.2016
2 265,S-1123-001,,Město Brno,SUKOVA,Brno - východ,2 016,13.11.2016,S svítidlo-bliká,20.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 266,S-0801-020,Z-344,Bystrc,OPÁLKOVA,Brno - západ,2 016,13.11.2016,Z vypadený jistící prvek,20.11.2016,Definitivní,vypadený jistící prvek,14.11.2016
2 267,S-0001-048,,Komín,ABSOLONOVA,Brno - západ,2 016,13.11.2016,S svítidlo-nesvítí,20.11.2016,Definitivní,S oprava svítidla,14.11.2016
2 268,S-0907-062,Z-415,Stránice,PRESLOVA,Brno - západ,2 016,14.11.2016,Z porucha proudového snímače,21.11.2016,Definitivní,jiná závada,14.11.2016
2 269,S-0526-036,Z-035,Starý Lískovec,KRYMSKÁ,Brno - západ,2 016,14.11.2016,Z zapnulo před časem zapnutí,21.11.2016,Definitivní,při kontrole vše v pořádku,14.11.2016
2 270,S-0461-109,R-0461-009,Město Brno,KOLIŠTĚ,Brno - východ,2 016,14.11.2016,R poškozen,21.11.2016,Definitivní,R oprava RS,14.11.2016
2 271,S-0530-016,,Židenice,KRÁSNÉHO,Brno - východ,2 016,14.11.2016,S svítidlo-bliká,21.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 272,S-0161-026,,Maloměřice,DOLNOPOLNÍ,Brno - východ,2 016,14.11.2016,S svítidlo-rozbité,21.11.2016,Definitivní,S montáž dvířek,14.11.2016
2 273,S-1233-041,,Lesná,VACULÍKOVA,Brno - východ,2 016,14.11.2016,S svítidlo-nesvítí,21.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 274,S-0365-006,,Starý Lískovec,JEMELKOVA,Brno - západ,2 016,14.11.2016,S svítidlo-bliká,21.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 275,S-1220-033,,Komín,ULICE ČOUPKOVÝCH,Brno - západ,2 016,14.11.2016,S svítidlo-bliká,21.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 276,S-0740-026,,Pisárky,NEUMANNOVA,Brno - západ,2 016,14.11.2016,S svítidlo-bliká,21.11.2016,Definitivní,S výměna světelného zdroje,15.11.2016
2 277,S-1696-097,Z-029,Starý Lískovec,BÍTEŠSKÁ,Brno - západ,2 016,14.11.2016,"Z vypnuta regulace, viz.poznámka",21.11.2016,Definitivní,Z regulace seřízena,15.11.2016
2 278,S-0801-011,Z-344,Bystrc,OPÁLKOVA,Brno - západ,2 016,14.11.2016,Z zapnout BP - porucha stabilizace,14.11.2016,Definitivní,vypadený jistící prvek,15.11.2016
2 279,S-0819-058,,Královo Pole,PALACKÉHO TŘÍDA,Brno - západ,2 016,14.11.2016,S svítidlo-nesvítí,21.11.2016,Definitivní,S výměna světelného zdroje,21.11.2016
2 280,S-0738-045,Z-322,Bohunice,NETROUFALKY,Brno - západ,2 016,14.11.2016,Z vypadený jistící prvek,21.11.2016,Definitivní,vypadený jistící prvek,14.11.2016
2 281,S-0738-045,Z-322,Bohunice,NETROUFALKY,Brno - západ,2 016,14.11.2016,"Z vypnuta regulace, viz.poznámka",21.11.2016,Definitivní,Z regulace zapnuta,15.11.2016
2 282,S-1040-001,,Ponava,SKŘIVANOVA,Brno - západ,2 016,15.11.2016,S svítidlo-nesvítí,22.11.2016,Definitivní,S výměna světelného zdroje,21.11.2016
2 283,S-0408-045,,Žabovřesky,KAINAROVA,Brno - západ,2 016,15.11.2016,S svítidlo-nesvítí,22.11.2016,Definitivní,S výměna světelného zdroje,21.11.2016
2 284,S-0442-005,Z-214,Starý Lískovec,KLOBÁSOVA,Brno - západ,2 016,15.11.2016,Z vybitá PLC baterie,22.11.2016,Definitivní,Z výměna baterie,16.11.2016
2 285,S-1401-064,,Řečkovice,ŽITNÁ,Brno - západ,2 016,15.11.2016,Z vypadený jistící prvek,22.11.2016,Definitivní,jiná závada,15.11.2016
2 286,S-1731-041,Z-614,Útěchov u Brna,VE VILKÁCH,Brno - východ,2 016,15.11.2016,Z porucha sign. otevření dveří,22.11.2016,Definitivní,Z oprava dveřního spínače,19.11.2016
2 287,S-0431-012,,Židenice,KARÁSKOVO NÁMĚSTÍ,Brno - východ,2 016,15.11.2016,S svítidlo-bliká,22.11.2016,Definitivní,S výměna světelného zdroje,20.12.2016
2 288,S-0801-021,Z-344,Bystrc,OPÁLKOVA,Brno - západ,2 016,15.11.2016,Z vypadený jistící prvek,22.11.2016,Provizorní,kabelová porucha 2,25.11.2016
2 289,S-0488-062,,Líšeň,KOTLANOVA,Brno - východ,2 016,15.11.2016,S svítidlo-bliká,22.11.2016,Definitivní,S výměna světelného zdroje,19.12.2016
2 290,S-0469-003,,Komárov,KOMÁROVSKÁ,Brno - východ,2 016,15.11.2016,S svítidlo-bliká,22.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 291,S-1422-016,,Město Brno,ČESKÁ,Brno - východ,2 016,15.11.2016,S svítidlo-nesvítí,22.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 292,S-0637-007,R-0637-011,Město Brno,MASARYKOVA,Brno - východ,2 016,15.11.2016,S svítidlo-nesvítí,22.11.2016,Definitivní,S oprava svítidla,16.11.2016
2 293,S-0907-062,Z-415,Stránice,PRESLOVA,Brno - západ,2 016,15.11.2016,Z zapnout BP - porucha stabilizace,15.11.2016,Definitivní,jiná závada,19.11.2016
2 294,S-0637-009,Z-280,Město Brno,MASARYKOVA,Brno - východ,2 016,16.11.2016,Z vypadený jistící prvek,23.11.2016,Definitivní,vypadený jistící prvek,16.11.2016
2 295,S-1536-187,Z-217,Komín,KNÍNIČSKÁ,Brno - západ,2 016,16.11.2016,Z porucha regulace,23.11.2016,Definitivní,Z regulace seřízena,20.11.2016
2 296,S-0951-006,,Zábrdovice,RADLAS,Brno - východ,2 016,16.11.2016,S svítidlo-nesvítí,23.11.2016,Definitivní,S výměna světelného zdroje,16.11.2016
2 297,S-0324-006,,Město Brno,HUSOVA,Brno - východ,2 016,16.11.2016,viz. poznámka,23.11.2016,Definitivní,neopraveno,23.11.2016
2 298,S-0066-001,Z-034,Řečkovice,BOSKOVICKÁ,Brno - západ,2 016,16.11.2016,Z vypadený jistící prvek,23.11.2016,Definitivní,vypadený jistící prvek,17.11.2016
2 299,S-1401-052,Z-605,Řečkovice,ŽITNÁ,Brno - západ,2 016,16.11.2016,Z nekomunikuje,23.11.2016,Definitivní,Z obnovena komunikace,17.11.2016
2 300,S-1125-002,,Veveří,SUŠILOVA,Brno - východ,2 016,16.11.2016,S svítidlo-nesvítí,23.11.2016,Definitivní,S výměna světelného zdroje,16.12.2016
2 301,S-0060-029,,Stránice,BOHUSLAVA MARTINŮ,Brno - západ,2 016,16.11.2016,"nesvítí celá ulice, oblast",23.11.2016,Definitivní,přepojení sítě,21.11.2016
2 302,S-0654-027,Z-288,Černá Pole,MERHAUTOVA,Brno - východ,2 016,16.11.2016,Z vypadený jistící prvek,23.11.2016,Definitivní,oprava kabelu,18.11.2016
2 303,S-0422-006,Z-201,Nový Lískovec,KAMÍNKY,Brno - západ,2 016,16.11.2016,Z vypadený jistící prvek,23.11.2016,Definitivní,vypadený jistící prvek,21.11.2016
2 304,S-0654-027,Z-288,Černá Pole,MERHAUTOVA,Brno - východ,2 016,17.11.2016,"Z vypnuta regulace, porucha síťě",24.11.2016,Definitivní,jiná závada,18.11.2016
2 305,S-0125-045,,Černovice,CHARBULOVA,Brno - východ,2 016,17.11.2016,"nesvítí celá ulice, oblast",24.11.2016,Definitivní,při kontrole vše v pořádku,17.11.2016
2 306,S-1401-015,Z-605,Řečkovice,ŽITNÁ,Brno - západ,2 016,17.11.2016,Z vypadený jistící prvek,24.11.2016,Definitivní,jiná závada,28.12.2016
2 307,S-0682-028,Z-300,Bohunice,MOLDAVSKÁ,Brno - západ,2 016,17.11.2016,Z vypadený jistící prvek,24.11.2016,Definitivní,vypadený jistící prvek,21.11.2016
2 308,S-0637-026,,Město Brno,MASARYKOVA,Brno - východ,2 016,17.11.2016,S svítidlo-nesvítí,24.11.2016,Definitivní,vypadený jistící prvek,23.11.2016
2 309,S-1255-002,Z-544,Město Brno,VESELÁ,Brno - východ,2 016,17.11.2016,SO nekomunikuje čip,24.11.2016,Definitivní,při kontrole vše v pořádku,19.11.2016
2 310,S-0460-015,Z-663,Královo Pole,KOLEJNÍ,Brno - západ,2 016,18.11.2016,Z nelze odečíst elektroměr,25.11.2016,Provizorní,jiná závada,6.1.2017
